ISim log file
Running: D:\VLSI\Assignment4_v2\test_gcd_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/VLSI/Assignment4_v2/test_gcd_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
a =   x, b =   x, gcd(a, b) =   x
a =   8, b =   4, gcd(a, b) =   x
a =   8, b =   4, gcd(a, b) =   4
a =   4, b =   0, gcd(a, b) =   4
a =   0, b =   0, gcd(a, b) =   4
a =   0, b =   0, gcd(a, b) =   0
a =   4, b =   4, gcd(a, b) =   0
a =   4, b =   4, gcd(a, b) =   4
a =   3, b =   0, gcd(a, b) =   4
a =   3, b =   0, gcd(a, b) =   3
a =   0, b =   3, gcd(a, b) =   3
a =   3, b =   3, gcd(a, b) =   3
a =  10, b =   4, gcd(a, b) =   3
a =  10, b =   4, gcd(a, b) =   2
a = 100, b =  25, gcd(a, b) =   2
a = 100, b =  25, gcd(a, b) =  25
a =  25, b = 100, gcd(a, b) =  25
a = 120, b =  10, gcd(a, b) =  25
a = 120, b =  10, gcd(a, b) =  10
a =  67, b =   9, gcd(a, b) =  10
a =  67, b =   9, gcd(a, b) =   1
